Model,N_dense,N_active,N_total,D1,D2,Loss
4x_44m,0.0442488,0.04425456,0.14380464,2.3068672,1.1534336,3.003675
4x_0.1b,0.09832384,0.09833344,0.31954624,9.2274688,4.6137344,2.704542
4x_0.1b,0.09832384,0.09833344,0.31954624,2.3068672,1.7301504,2.8311
4x_44m,0.0442488,0.04425456,0.14380464,0.5767168,2.3068672,2.990744
4x_0.1b,0.09832384,0.09833344,0.31954624,1.7301504,2.3068672,2.83334
4x_44m,0.0442488,0.04425456,0.14380464,4.6137344,1.1534336,2.966652
4x_0.1b,0.09832384,0.09833344,0.31954624,1.7301504,1.1534336,2.880505
4x_44m,0.0442488,0.04425456,0.14380464,4.6137344,2.3068672,2.941649
4x_0.1b,0.09832384,0.09833344,0.31954624,1.7301504,1.7301504,2.857411
4x_44m,0.0442488,0.04425456,0.14380464,1.1534336,1.1534336,3.048969
4x_0.1b,0.09832384,0.09833344,0.31954624,1.1534336,1.7301504,2.87978
4x_44m,0.0442488,0.04425456,0.14380464,0.5767168,1.1534336,3.072633
4x_44m,0.0442488,0.04425456,0.14380464,0.5767168,0.5767168,3.137782
4x_0.1b,0.09832384,0.09833344,0.31954624,9.2274688,1.7301504,2.753025
4x_44m,0.0442488,0.04425456,0.14380464,2.3068672,0.8650752,3.013351
4x_0.1b,0.09832384,0.09833344,0.31954624,1.1534336,2.3068672,2.847991
4x_44m,0.0442488,0.04425456,0.14380464,4.6137344,0.8650752,2.973427
4x_0.1b,0.09832384,0.09833344,0.31954624,2.3068672,2.3068672,2.811496
4x_44m,0.0442488,0.04425456,0.14380464,0.8650752,0.5767168,3.105163
4x_44m,0.0442488,0.04425456,0.14380464,1.1534336,0.5767168,3.078354
4x_0.1b,0.09832384,0.09833344,0.31954624,4.6137344,4.6137344,2.729423
4x_0.1b,0.09832384,0.09833344,0.31954624,1.7301504,4.6137344,2.758488
4x_0.1b,0.09832384,0.09833344,0.31954624,1.1534336,4.6137344,2.760993
4x_0.1b,0.09832384,0.09833344,0.31954624,2.3068672,1.1534336,2.850478
4x_0.2b,0.23262304,0.232640512,0.756014272,2.3068672,18.4549376,2.497221
4x_0.2b,0.23262304,0.232640512,0.756014272,2.3068672,1.7301504,2.768927
4x_0.2b,0.23262304,0.232640512,0.756014272,2.3068672,9.2274688,2.584738
4x_0.2b,0.23262304,0.232640512,0.756014272,2.3068672,2.3068672,2.745162
4x_0.2b,0.23262304,0.232640512,0.756014272,2.3068672,4.6137344,2.67218
4x_0.2b,0.23262304,0.232640512,0.756014272,2.3068672,1.1534336,2.794894
4x_15m,0.01475168,0.01475456,0.0479408,2.3068672,1.1534336,3.210952
4x_15m,0.01475168,0.01475456,0.0479408,2.3068672,0.4325376,3.25232
4x_15m,0.01475168,0.01475456,0.0479408,2.3068672,0.2883584,3.24997
4x_15m,0.01475168,0.01475456,0.0479408,2.3068672,0.5767168,3.238614
4x_15m,0.01475168,0.01475456,0.0479408,2.3068672,2.3068672,3.160591
32x_15m,0.01475168,0.0479408,0.35767904,2.3068672,2.3068672,2.914993
32x_44m,0.0442488,0.14380464,1.07293872,2.3068672,4.6137344,2.676241
32x_0.1b,0.09832384,0.31954624,2.38419904,2.3068672,9.2274688,2.488634
32x_0.2b,0.23262304,0.756014272,5.640836032,2.3068672,18.4549376,2.365249
32x_15m,0.01475168,0.0479408,0.35767904,2.3068672,1.1534336,2.980306
32x_15m,0.01475168,0.0479408,0.35767904,2.3068672,0.4325376,3.085679
32x_15m,0.01475168,0.0479408,0.35767904,2.3068672,0.2883584,3.124801
32x_15m,0.01475168,0.0479408,0.35767904,2.3068672,0.5767168,3.049983
32x_44m,0.0442488,0.14380464,1.07293872,2.3068672,0.8650752,2.863638
32x_44m,0.0442488,0.14380464,1.07293872,2.3068672,1.1534336,2.833728
32x_44m,0.0442488,0.14380464,1.07293872,2.3068672,0.5767168,2.90251
32x_44m,0.0442488,0.14380464,1.07293872,2.3068672,2.3068672,2.761517
32x_0.1b,0.09832384,0.31954624,2.38419904,2.3068672,1.1534336,2.75841
32x_0.1b,0.09832384,0.31954624,2.38419904,2.3068672,1.7301504,2.707068
32x_0.1b,0.09832384,0.31954624,2.38419904,2.3068672,4.6137344,2.576927
32x_0.1b,0.09832384,0.31954624,2.38419904,2.3068672,2.3068672,2.66871
32x_0.2b,0.23262304,0.756014272,5.640836032,2.3068672,2.3068672,2.635024
4x_15m,0.01475168,0.02581664,0.0479408,0.2883584,2.3068672,3.103441
4x_15m,0.01475168,0.02581664,0.0479408,0.4325376,2.3068672,3.100603
4x_44m,0.0442488,0.07743792,0.14380464,0.5767168,4.6137344,2.830141
4x_15m,0.01475168,0.02581664,0.0479408,0.5767168,2.3068672,3.093353
4x_15m,0.01475168,0.02581664,0.0479408,1.1534336,2.3068672,3.080097
4x_44m,0.0442488,0.07743792,0.14380464,0.8650752,4.6137344,2.824135
4x_15m,0.01475168,0.02581664,0.0479408,2.3068672,2.3068672,3.065
4x_0.1b,0.09832384,0.17207104,0.31954624,1.1534336,9.2274688,2.622886
4x_44m,0.0442488,0.07743792,0.14380464,1.1534336,4.6137344,2.819951
4x_44m,0.0442488,0.07743792,0.14380464,2.3068672,4.6137344,2.804955
4x_0.1b,0.09832384,0.17207104,0.31954624,1.7301504,9.2274688,2.620105
4x_44m,0.0442488,0.07743792,0.14380464,4.6137344,4.6137344,2.788157
4x_0.1b,0.09832384,0.17207104,0.31954624,2.3068672,9.2274688,2.613722
4x_0.1b,0.09832384,0.17207104,0.31954624,4.6137344,9.2274688,2.601891
4x_0.1b,0.09832384,0.17207104,0.31954624,9.2274688,9.2274688,2.586214
4x_15m,0.01475168,0.02581664,0.0479408,1.1534336,0.2883584,3.231441
4x_44m,0.0442488,0.07743792,0.14380464,1.1534336,0.5767168,3.016461
4x_0.1b,0.09832384,0.17207104,0.31954624,4.6137344,2.3068672,2.706498
4x_15m,0.01475168,0.02581664,0.0479408,0.2883584,0.2883584,3.334241
4x_44m,0.0442488,0.07743792,0.14380464,0.8650752,2.3068672,2.905556
4x_15m,0.01475168,0.02581664,0.0479408,2.3068672,1.1534336,3.108768
4x_0.1b,0.09832384,0.17207104,0.31954624,2.3068672,4.6137344,2.675035
4x_15m,0.01475168,0.02581664,0.0479408,0.5767168,0.2883584,3.27609
4x_44m,0.0442488,0.07743792,0.14380464,4.6137344,0.8650752,2.909487
4x_44m,0.0442488,0.07743792,0.14380464,0.5767168,0.5767168,3.074038
4x_0.1b,0.09832384,0.17207104,0.31954624,2.3068672,2.3068672,2.739656
4x_15m,0.01475168,0.02581664,0.0479408,0.5767168,1.1534336,3.154949
4x_44m,0.0442488,0.07743792,0.14380464,1.1534336,0.8650752,2.985783
4x_15m,0.01475168,0.02581664,0.0479408,0.2883584,1.1534336,3.175533
4x_0.1b,0.09832384,0.17207104,0.31954624,1.7301504,4.6137344,2.68389
4x_44m,0.0442488,0.07743792,0.14380464,4.6137344,1.1534336,2.892209
4x_15m,0.01475168,0.02581664,0.0479408,2.3068672,0.4325376,3.17607
4x_0.1b,0.09832384,0.17207104,0.31954624,2.3068672,1.1534336,2.794981
4x_44m,0.0442488,0.07743792,0.14380464,4.6137344,0.5767168,2.928652
4x_15m,0.01475168,0.02581664,0.0479408,0.4325376,0.5767168,3.232011
4x_0.1b,0.09832384,0.17207104,0.31954624,1.1534336,2.3068672,2.771054
4x_44m,0.0442488,0.07743792,0.14380464,0.8650752,0.5767168,3.039569
4x_15m,0.01475168,0.02581664,0.0479408,0.4325376,1.1534336,3.165085
4x_0.1b,0.09832384,0.17207104,0.31954624,1.7301504,1.1534336,2.816478
4x_15m,0.01475168,0.02581664,0.0479408,0.2883584,0.4325376,3.291764
4x_44m,0.0442488,0.07743792,0.14380464,0.8650752,0.8650752,3.004911
4x_15m,0.01475168,0.02581664,0.0479408,0.5767168,0.4325376,3.24559
4x_44m,0.0442488,0.07743792,0.14380464,2.3068672,1.1534336,2.923666
4x_0.1b,0.09832384,0.17207104,0.31954624,2.3068672,1.7301504,2.765027
4x_15m,0.01475168,0.02581664,0.0479408,1.1534336,0.4325376,3.206478
4x_44m,0.0442488,0.07743792,0.14380464,2.3068672,0.5767168,2.967192
4x_0.1b,0.09832384,0.17207104,0.31954624,1.1534336,1.1534336,2.847787
4x_15m,0.01475168,0.02581664,0.0479408,0.5767168,0.5767168,3.216954
4x_44m,0.0442488,0.07743792,0.14380464,0.8650752,1.1534336,2.975986
4x_0.1b,0.09832384,0.17207104,0.31954624,1.7301504,1.7301504,2.783383
4x_15m,0.01475168,0.02581664,0.0479408,1.1534336,0.5767168,3.181044
4x_44m,0.0442488,0.07743792,0.14380464,0.5767168,1.1534336,2.995327
4x_15m,0.01475168,0.02581664,0.0479408,1.1534336,1.1534336,3.131336
4x_0.1b,0.09832384,0.17207104,0.31954624,1.1534336,4.6137344,2.691685
4x_44m,0.0442488,0.07743792,0.14380464,0.5767168,0.8650752,3.029078
4x_15m,0.01475168,0.02581664,0.0479408,0.4325376,0.4325376,3.265706
4x_0.1b,0.09832384,0.17207104,0.31954624,4.6137344,1.1534336,2.750204
4x_15m,0.01475168,0.02581664,0.0479408,2.3068672,0.5767168,3.152625
4x_44m,0.0442488,0.07743792,0.14380464,0.5767168,2.3068672,2.916036
4x_15m,0.01475168,0.02581664,0.0479408,0.4325376,0.2883584,3.297708
4x_0.1b,0.09832384,0.17207104,0.31954624,4.6137344,1.7301504,2.727088
4x_15m,0.01475168,0.02581664,0.0479408,2.3068672,0.2883584,3.196884
4x_44m,0.0442488,0.07743792,0.14380464,2.3068672,2.3068672,2.872794
4x_0.1b,0.09832384,0.17207104,0.31954624,9.2274688,2.3068672,2.676663
4x_15m,0.01475168,0.02581664,0.0479408,0.2883584,0.5767168,3.252787
4x_44m,0.0442488,0.07743792,0.14380464,4.6137344,2.3068672,2.849062
4x_0.1b,0.09832384,0.17207104,0.31954624,9.2274688,4.6137344,2.631287
4x_0.1b,0.09832384,0.17207104,0.31954624,9.2274688,1.1534336,2.714022
4x_44m,0.0442488,0.07743792,0.14380464,1.1534336,2.3068672,2.897239
4x_44m,0.0442488,0.07743792,0.14380464,2.3068672,0.8650752,2.94383
4x_0.1b,0.09832384,0.17207104,0.31954624,1.1534336,1.7301504,2.804854
4x_44m,0.0442488,0.07743792,0.14380464,1.1534336,1.1534336,2.96128
4x_0.1b,0.09832384,0.17207104,0.31954624,9.2274688,1.7301504,2.694584
4x_0.1b,0.09832384,0.17207104,0.31954624,1.7301504,2.3068672,2.754456
4x_0.1b,0.09832384,0.17207104,0.31954624,4.6137344,4.6137344,2.654239
4x_0.2b,0.23262304,0.407098432,0.756014272,2.3068672,18.4549376,2.454497
4x_0.2b,0.23262304,0.407098432,0.756014272,2.3068672,4.6137344,2.591496
4x_0.2b,0.23262304,0.407098432,0.756014272,2.3068672,1.7301504,2.701628
4x_0.2b,0.23262304,0.407098432,0.756014272,2.3068672,2.3068672,2.669801
4x_0.2b,0.23262304,0.407098432,0.756014272,2.3068672,9.2274688,2.521503
4x_0.2b,0.23262304,0.407098432,0.756014272,2.3068672,1.1534336,2.739228
8x_15m,0.01475168,0.0479408,0.09218912,0.2883584,2.3068672,3.032077
8x_15m,0.01475168,0.0479408,0.09218912,0.4325376,2.3068672,3.026593
8x_15m,0.01475168,0.0479408,0.09218912,0.5767168,2.3068672,3.021468
8x_0.1b,0.09832384,0.31954624,0.61449664,2.3068672,9.2274688,2.552724
8x_15m,0.01475168,0.0479408,0.09218912,1.1534336,2.3068672,3.008188
8x_44m,0.0442488,0.14380464,0.27653808,0.5767168,4.6137344,2.762064
8x_44m,0.0442488,0.14380464,0.27653808,0.8650752,4.6137344,2.758171
8x_0.2b,0.23262304,0.756014272,1.453845952,2.3068672,18.4549376,2.397607
8x_44m,0.0442488,0.14380464,0.27653808,1.1534336,4.6137344,2.75389
8x_15m,0.01475168,0.0479408,0.09218912,2.3068672,2.3068672,3.135272
8x_44m,0.0442488,0.14380464,0.27653808,2.3068672,4.6137344,2.740454
8x_44m,0.0442488,0.14380464,0.27653808,4.6137344,4.6137344,2.723417
8x_15m,0.01475168,0.0479408,0.09218912,2.3068672,1.1534336,3.047707
8x_15m,0.01475168,0.0479408,0.09218912,2.3068672,0.4325376,3.133883
8x_15m,0.01475168,0.0479408,0.09218912,2.3068672,0.2883584,3.165019
8x_44m,0.0442488,0.14380464,0.27653808,2.3068672,2.3068672,2.814786
8x_0.1b,0.09832384,0.31954624,0.61449664,2.3068672,2.3068672,2.690403
8x_15m,0.01475168,0.0479408,0.09218912,2.3068672,0.5767168,3.103394
8x_44m,0.0442488,0.14380464,0.27653808,2.3068672,1.1534336,2.875206
8x_44m,0.0442488,0.14380464,0.27653808,2.3068672,0.8650752,2.901105
8x_44m,0.0442488,0.14380464,0.27653808,2.3068672,0.5767168,2.933605
8x_0.1b,0.09832384,0.31954624,0.61449664,2.3068672,4.6137344,2.618181
8x_0.1b,0.09832384,0.31954624,0.61449664,2.3068672,1.7301504,2.720305
8x_0.1b,0.09832384,0.31954624,0.61449664,2.3068672,1.1534336,2.758541
8x_15m,0.01475168,0.01475456,0.09218912,0.2883584,2.3068672,3.208384
8x_15m,0.01475168,0.01475456,0.09218912,0.4325376,2.3068672,3.213119
8x_15m,0.01475168,0.01475456,0.09218912,0.5767168,2.3068672,3.204053
8x_15m,0.01475168,0.01475456,0.09218912,1.1534336,2.3068672,3.194466
8x_15m,0.01475168,0.01475456,0.09218912,2.3068672,2.3068672,3.196683
8x_44m,0.0442488,0.04425456,0.27653808,0.5767168,4.6137344,2.927985
8x_44m,0.0442488,0.04425456,0.27653808,0.8650752,4.6137344,2.940051
8x_44m,0.0442488,0.04425456,0.27653808,1.1534336,4.6137344,2.931415
