Model,N_dense,N_active,N_total,D1,D2,Loss
8x_0.2b,0.23262304,0.407098432,1.453845952,18.4549376,18.4549376,2.410191
8x_0.5b,0.52188976,0.9133208,3.26173232,4.6137344,36.9098752,2.233705
8x_1b,1.085859424,1.900275424,6.786500704,9.2274688,73.8197504,2.091564
8x_0.5b,0.52188976,0.9133208,3.26173232,6.9206016,36.9098752,2.231539
8x_0.5b,0.52188976,0.9133208,3.26173232,9.2274688,36.9098752,2.231481
8x_1b,1.085859424,1.900275424,6.786500704,36.9098752,73.8197504,2.082191
8x_0.5b,0.52188976,0.9133208,3.26173232,18.4549376,36.9098752,2.224312
8x_1b,1.085859424,1.900275424,6.786500704,13.8412032,73.8197504,2.090025
8x_0.5b,0.52188976,0.9133208,3.26173232,36.9098752,36.9098752,2.214087
8x_15m,0.01475168,0.02581664,0.09218912,0.5767168,0.4325376,3.215832
8x_15m,0.01475168,0.02581664,0.09218912,0.4325376,0.5767168,3.196016
8x_15m,0.01475168,0.02581664,0.09218912,1.1534336,0.2883584,3.210777
8x_15m,0.01475168,0.02581664,0.09218912,0.5767168,0.5767168,3.18291
8x_15m,0.01475168,0.02581664,0.09218912,0.4325376,1.1534336,3.11911
8x_15m,0.01475168,0.02581664,0.09218912,0.4325376,0.2883584,3.272303
8x_15m,0.01475168,0.02581664,0.09218912,0.4325376,0.4325376,3.233901
8x_15m,0.01475168,0.02581664,0.09218912,2.3068672,1.1534336,3.070477
8x_15m,0.01475168,0.02581664,0.09218912,2.3068672,0.4325376,3.152854
